event_id,season,week,rule_mode,elim_count,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_hit_pred,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975,pi_hdi_width_mean,pi_hdi_width_median,pi_sd_mean,pi_sd_median,pi_mean_max,pi_mean_min
6-5,6,5,percent,1,1,1,1.0,,,0,0.1268677887844524,0.1015589241876644,0.1359627021139039,-2.0674624731468096,-2.2871161213481535,-1.9953746800231331,0.39028661288087896,0.3908083868024065,0.1467517176255306,0.146728746908168,0.1337736863463798,0.1151842599094238
6-6,6,6,percent,1,1,1,1.0,,,0,0.1458130018200519,0.1138579580187241,0.1579069922905022,-1.92844804374866,-2.1728035932808374,-1.8457490760397448,0.4398009207438617,0.4327700140466703,0.15945128976051923,0.1562270274666472,0.157102774196415,0.1311293920803452
6-7,6,7,percent,1,1,1,1.0,,,0,0.1680222340681585,0.1282095553735861,0.1837433327280358,-1.7876169425701331,-2.054089204127778,-1.6942154265867149,0.5073284459768068,0.5083750273185905,0.17686934700003754,0.1766095073818018,0.1807701571124197,0.1528682477966188
6-8,6,8,percent,1,1,1,1.0,,,0,0.2025876925203713,0.1506589210968849,0.2244846617733987,-1.6011446130907148,-1.89273679788697,-1.4939478958632209,0.5916101700189224,0.6007932671258772,0.19578778659458104,0.199912327393709,0.2124913277343046,0.1762371571808827
6-9,6,9,percent,1,1,1,1.0,,,0,0.2561970675668635,0.1851237924919787,0.2905488868022461,-1.3678496783538217,-1.6867305724629242,-1.2359834321061216,0.6949470475160382,0.7146590791818325,0.22198498342539028,0.2254966420259544,0.2684727530447983,0.2192492997589619
6-10,6,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8315722581124919,0.8232747546788612,0.25569147944510817,0.2544166403606832,0.3438519649895432,0.3276945919001955
7-1,7,1,percent,2,0,0,,,,0,0.0131629977973113,0.0106864502126037,0.0143146593493213,-4.332932366372258,-4.538778675400934,-4.24647113862213,0.23870324177297403,0.237548282998,0.1049615154465948,0.107416086500226,0.0842821338019012,0.0694234210622381
7-2,7,2,percent,2,0,0,,,,0,0.0184349231654389,0.0144451522198494,0.0203351014130829,-3.997018525110772,-4.2373964093019305,-3.895406753181736,0.2824748074690781,0.2880781941421118,0.11853116590369149,0.1186354789425366,0.0988113360451736,0.0830942047878551
7-3,7,3,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.3476866778835894,0.3345973433515232,0.13438962692208928,0.1325449787878963,0.1215779513253974,0.1041275342628837
7-4,7,4,percent,1,1,1,1.0,,,0,0.1131247517818855,0.0932813556366791,0.1203384263792636,-2.1814324111770675,-2.3721350680971462,-2.117447285790406,0.34785706583854226,0.335578636404513,0.13508021387991473,0.1323362218956692,0.12084348043818,0.0995273531670339
7-5,7,5,percent,1,1,1,1.0,,,0,0.126353795503367,0.1019589433430745,0.1355215146029456,-2.071391270125419,-2.2831850638466644,-1.998624872436643,0.3931902853659723,0.39253267073512066,0.1476837863119238,0.14577355451767204,0.1373660152608173,0.1165045459591654
7-6,7,6,percent,1,1,1,1.0,,,0,0.1476522191035572,0.1163602906768992,0.1604372981325496,-1.9160926466941952,-2.151063947475917,-1.829852078925858,0.43823788846250017,0.4477462408708845,0.15798867034378955,0.1591772345050889,0.1524247962186856,0.1301167575783354
7-7,7,7,percent,1,0,0,0.0,,,0,0.1679306481693139,0.1263992640865472,0.1838733568427888,-1.7883300131681736,-2.0683096253981392,-1.693508036505804,0.5121611947643624,0.5123946786660019,0.17659894571683274,0.17660105427555714,0.1778741897533728,0.1557419175047782
7-8,7,8,percent,1,1,1,1.0,,,0,0.2035257742976679,0.1517260954969477,0.2256919843831102,-1.5966367723751331,-1.885678412482927,-1.488584111124635,0.5990804073664038,0.6154220797683758,0.19738912598865657,0.2017403103730708,0.2135845098945647,0.1778064931284606
7-9,7,9,percent,1,1,1,1.0,,,0,0.2561772941012343,0.1839267935199225,0.2917367169648983,-1.368246608627221,-1.6932175981722577,-1.2319035379332084,0.6978748170608338,0.7132295260752769,0.22110757139859136,0.22420979390684184,0.261661622738199,0.2251151818424509
7-10,7,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8304598925525747,0.8315303284328309,0.25498081923321775,0.2546726795630832,0.3364056917422484,0.3293020206649212
8-1,8,1,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.2377216584837391,0.2301921582228228,0.10664213550044316,0.103053731125679,0.0841784821663941,0.0731632505711658
8-2,8,2,percent,1,0,0,0.0,,,0,0.0775554340523717,0.0674632586169763,0.0810090489144663,-2.557963620107161,-2.696172147804887,-2.5131944155656023,0.23771889600604976,0.2333996116367202,0.10549216308622887,0.1042102046227622,0.0873123520063247,0.0707744096332298
8-3,8,3,percent,1,0,0,0.0,,,0,0.0845780224048742,0.0725952017402644,0.0888035558166939,-2.471474539993983,-2.622856453416215,-2.421328586806609,0.2555779483808582,0.24986461249692235,0.11181952975527547,0.1113523709284526,0.0944245671822388,0.0764603285030908
8-4,8,4,percent,2,1,1,,,,0,0.0190353390161858,0.0147150072547697,0.0210940853612042,-3.9649736818568697,-4.218887416090844,-3.858762592431205,0.28128507906208605,0.2818383250600917,0.11868221147663792,0.117436032590442,0.1000032630544954,0.08227111498252
8-5,8,5,percent,1,0,0,0.0,,,0,0.1120765409559872,0.0918122450262561,0.1190653108618767,-2.1907381254883553,-2.388009638729782,-2.128083105653128,0.3476532954554361,0.3443752767821726,0.13663771615642845,0.1368061368630936,0.1227639685653524,0.1005030265535779
8-6,8,6,percent,1,1,1,1.0,,,0,0.1282552918739558,0.102898082988051,0.1381064707912944,-2.0563849479186347,-2.2740162805301307,-1.9797303638275767,0.38941103881614875,0.38507967921500996,0.1468717749491529,0.14553603387543879,0.1340706233830159,0.1166421491595055
8-7,8,7,percent,1,1,1,1.0,,,0,0.1457974476788058,0.1118397444163295,0.1579663963852753,-1.928818574476928,-2.1906882861881716,-1.8453729496952904,0.4414879070987943,0.4368264449644825,0.15930812454154514,0.1619897400931488,0.1504176614937076,0.1328748469004414
8-8,8,8,percent,1,1,1,1.0,,,0,0.1681789641799431,0.1274775436778646,0.1840489422087489,-1.7866584430906098,-2.0598150594288027,-1.6925535665113982,0.5055508892476434,0.5051443382970224,0.1766582587551476,0.1776567668368432,0.1758213703229199,0.1539899078435824
8-9,8,9,percent,1,0,0,0.0,,,0,0.2026676793479965,0.1498502449682333,0.2247363829310684,-1.6010282430891392,-1.898118862643194,-1.4928271951065233,0.5922913736496759,0.6169132303524827,0.19674534282138817,0.2038608388905388,0.2119341049057747,0.179961308425218
8-10,8,10,percent,1,1,1,1.0,,,0,0.2581429190139414,0.1893324364157534,0.2934583135530111,-1.3600060766163884,-1.66425116063274,-1.2260196826990848,0.6953576633853937,0.7207193698743166,0.22097905884080124,0.2263548454964284,0.2633255938536893,0.2215999220858377
8-11,8,11,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8339995575104351,0.8291596461829167,0.25674723716675557,0.2562556807986453,0.3365000552291162,0.331273393290014
9-1,9,1,percent,2,1,1,,,,0,0.0085300719362742,0.0070692489901632,0.0091498423973462,-4.766212938001944,-4.952001032131418,-4.694018624191307,0.19223343808646623,0.19244715920011785,0.09103580924470588,0.09208942843720555,0.0699375474283766,0.0562917023159785
9-2,9,2,percent,1,1,1,1.0,,,0,0.0720779420154671,0.063621349519361,0.0750555349132756,-2.631090789792527,-2.7548061840275864,-2.589526974041758,0.22168100116543954,0.2194961867580911,0.10026253748712907,0.09952590962232595,0.0795067254639431,0.064520910247258
9-3,9,3,percent,2,0,0,,,,0,0.0131125544238113,0.0105229517385535,0.0142981403646204,-4.336943887480982,-4.5541965380494,-4.247625794671375,0.23873208116117228,0.2298393038520734,0.10573606698235799,0.1051304037826682,0.0852206400327559,0.0697894050667456
9-4,9,4,percent,1,1,1,1.0,,,0,0.0923957635605923,0.0780776517868096,0.0972785153597142,-2.383220081181767,-2.550051465475211,-2.330177122641809,0.2814906413085434,0.2887405824857463,0.11823685099317303,0.1194941354166483,0.0995255461264136,0.0814033322854938
9-5,9,5,percent,1,0,0,0.0,,,0,0.1007952175151432,0.0819112893665868,0.1067199587247583,-2.296868779328215,-2.502118455568779,-2.2375470836177063,0.30963929987982397,0.30828479278425724,0.1268827698484117,0.1258390296598692,0.1081970967043724,0.09312222499467
9-6,9,6,percent,2,0,0,,,,0,0.028691644134917,0.0215619046528136,0.0322883126052117,-3.5557960195689504,-3.8368271948981194,-3.433049953187321,0.34513012291125233,0.35288168433477,0.1367686568283743,0.1395024837604126,0.1213354318326526,0.0994882484390863
9-7,9,7,percent,2,1,1,,,,0,0.049151433216038,0.036150618973302,0.0571026239276068,-3.0191783774351566,-3.320061210990975,-2.8629052101800347,0.44170354640308085,0.4440535088977092,0.1593171439110765,0.1636056671847681,0.1539743447260477,0.1296817793431379
9-8,9,8,percent,1,1,1,1.0,,,0,0.2034177346677512,0.1513357510159707,0.2250492788793974,-1.5970913019704305,-1.888254516170908,-1.4914358848723,0.5970389719852512,0.6113220757938297,0.19765192563219122,0.2008604732773647,0.2104021954699619,0.1764115918064699
9-9,9,9,percent,1,1,1,1.0,,,0,0.2530394183863751,0.1787510624508567,0.2866933811445811,-1.3805358496305775,-1.721761193973092,-1.2493419940230348,0.6953362005127321,0.7125559390465322,0.22366735620896358,0.2265135702406412,0.2643232310708491,0.2227291522998279
9-10,9,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8394735679875686,0.8345471353621559,0.25742709750179993,0.2564147379304485,0.3337751715239499,0.3327605357820004
10-1,10,1,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.2804848183452129,0.2679123755937397,0.118756198311798,0.1151876875567158,0.1000601587206719,0.0856038996455983
10-2,10,2,percent,1,0,0,0.0,,,0,0.0913656140146489,0.0774149284966409,0.0960070556674594,-2.394372632379218,-2.558575657025538,-2.3433335937009545,0.28134809990714915,0.2772688919907271,0.11765380746970604,0.1161681026919853,0.0994692726318895,0.0809278978108051
10-3,10,3,percent,1,1,1,1.0,,,0,0.1022400247152759,0.0827410475987083,0.1086234252870811,-2.282649914778355,-2.492039457279138,-2.219868192324495,0.31733904628740384,0.3040778633315524,0.1275258473447592,0.12440450883884596,0.1120743829583935,0.0941359748710236
